Date,Holdings,Max Weight,Turnover,Transaction Cost
2011-03-31,10,0.1,0.5,0.0005
2011-04-30,10,0.1,0.2,0.0002
2011-05-31,10,0.1,0.1,0.0001
2011-06-30,10,0.1,0.2,0.0002
2011-07-31,10,0.1,0.2,0.0002
2011-08-31,10,0.1,0.3,0.0003
2011-09-30,10,0.1,0.2,0.0002
2011-10-31,10,0.1,0.2,0.0002
2011-11-30,10,0.1,0.30000000000000004,0.00030000000000000003
2011-12-31,10,0.1,0.2,0.0002
2012-01-31,10,0.1,0.3,0.0003
2012-02-29,10,0.1,0.2,0.0002
2012-03-31,10,0.1,0.3,0.0003
2012-04-30,10,0.1,0.2,0.0002
2012-05-31,10,0.1,0.1,0.0001
2012-06-30,10,0.1,0.1,0.0001
2012-07-31,10,0.1,0.2,0.0002
2012-08-31,10,0.1,0.30000000000000004,0.00030000000000000003
2012-09-30,10,0.1,0.30000000000000004,0.00030000000000000003
2012-10-31,10,0.1,0.30000000000000004,0.00030000000000000003
2012-11-30,10,0.1,0.2,0.0002
2012-12-31,10,0.1,0.2,0.0002
2013-01-31,10,0.1,0.30000000000000004,0.00030000000000000003
2013-02-28,10,0.1,0.30000000000000004,0.00030000000000000003
2013-03-31,10,0.1,0.3,0.0003
2013-04-30,10,0.1,0.2,0.0002
2013-05-31,10,0.1,0.3,0.0003
2013-06-30,10,0.1,0.2,0.0002
2013-07-31,10,0.1,0.4,0.0004
2013-08-31,10,0.1,0.2,0.0002
2013-09-30,10,0.1,0.4,0.0004
2013-10-31,10,0.1,0.2,0.0002
2013-11-30,10,0.1,0.2,0.0002
2013-12-31,10,0.1,0.2,0.0002
2014-01-31,10,0.1,0.2,0.0002
2014-02-28,11,0.09090909090909091,0.30000000000000004,0.00030000000000000003
2014-03-31,11,0.09090909090909091,0.3636363636363637,0.0003636363636363637
2014-04-30,11,0.09090909090909091,0.36363636363636365,0.00036363636363636367
2014-05-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2014-06-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2014-07-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2014-08-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2014-09-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2014-10-31,11,0.09090909090909091,0.0,0.0
2014-11-30,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2014-12-31,11,0.09090909090909091,0.36363636363636365,0.00036363636363636367
2015-01-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2015-02-28,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2015-03-31,11,0.09090909090909091,0.36363636363636365,0.00036363636363636367
2015-04-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2015-05-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2015-06-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2015-07-31,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2015-08-31,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2015-09-30,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2015-10-31,11,0.09090909090909091,0.27272727272727276,0.00027272727272727274
2015-11-30,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2015-12-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2016-01-31,11,0.09090909090909091,0.27272727272727276,0.00027272727272727274
2016-02-29,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2016-03-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2016-04-30,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2016-05-31,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2016-06-30,11,0.09090909090909091,0.36363636363636365,0.00036363636363636367
2016-07-31,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2016-08-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2016-09-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2016-10-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2016-11-30,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2016-12-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2017-01-31,11,0.09090909090909091,0.36363636363636365,0.00036363636363636367
2017-02-28,11,0.09090909090909091,0.27272727272727276,0.00027272727272727274
2017-03-31,11,0.09090909090909091,0.27272727272727276,0.00027272727272727274
2017-04-30,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2017-05-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2017-06-30,11,0.09090909090909091,0.09090909090909091,9.090909090909092e-05
2017-07-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2017-08-31,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2017-09-30,11,0.09090909090909091,0.18181818181818182,0.00018181818181818183
2017-10-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2017-11-30,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
2017-12-31,11,0.09090909090909091,0.2727272727272727,0.0002727272727272727
