Model,N,R2,Alpha Monthly,Alpha Annualized,Alpha t-stat,MKT_RF,MKT_RF t-stat,SMB,SMB t-stat,HML,HML t-stat,RMW,RMW t-stat,CMA,CMA t-stat,MOM,MOM t-stat
CAPM,194,0.36061849291692005,0.0023558879491283945,0.02863986107246652,1.0512303826479727,0.6731499217282412,7.7270099718934375,,,,,,,,,,
FF3,194,0.4735985085281518,0.0012618927706426657,0.015248253216438412,0.6970302326597403,0.759260841771509,8.498121368305831,-0.4709615686295938,-4.858089658442744,0.47389006189631905,5.279051240261818,,,,,,
Carhart4,194,0.4740546202025163,0.0014145289965989383,0.01710703150650761,0.7137475671262242,0.7527570037944453,7.694063525261617,-0.4778014129851772,-4.687037479407784,0.4663651867486462,4.728001471725639,,,,,-0.03254721715905719,-0.3012951334272375
FF5,194,0.4764769707383968,0.0010004890576216976,0.012072154082551023,0.5302654401207836,0.757210403436675,7.979442292391993,-0.4267740956253462,-3.505802668441397,0.4581791150654908,3.6568094844662054,0.1428082891555929,0.9600564619234007,-0.007108772229783136,-0.038714773555828086,,
