Date,strategy_net_return,strategy_gross_return,benchmark_return,turnover,transaction_cost
2011-03-31,0.009693997101704387,0.010193997101704388,0.00012016930653602209,0.5,0.0005
2011-04-30,0.024288517789382548,0.024488517789382547,0.028961378320517372,0.2,0.0002
2011-05-31,0.015367904264890186,0.015467904264890186,-0.011214510324992544,0.1,0.0001
2011-06-30,-0.0035694444558564613,-0.003369444455856461,-0.016869544409148896,0.2,0.0002
2011-07-31,-0.03700991384884563,-0.03680991384884563,-0.020004892041738165,0.2,0.0002
2011-08-31,-0.06463661791928789,-0.0643366179192879,-0.05497552886720303,0.3,0.0003
2011-09-30,-0.10391529374866743,-0.10371529374866742,-0.06942084054421005,0.2,0.0002
2011-10-31,0.07404467487114408,0.07424467487114408,0.10914734481678101,0.2,0.0002
2011-11-30,0.006487764956878306,0.006787764956878306,-0.004063662022451564,0.30000000000000004,0.00030000000000000003
2011-12-31,0.00836352834891223,0.00856352834891223,0.010448351953053825,0.2,0.0002
2012-01-31,0.008188256624346215,0.008488256624346215,0.04637441658233743,0.3,0.0003
2012-02-29,0.08556892837999285,0.08576892837999285,0.04340574224712057,0.2,0.0002
2012-03-31,0.04361920381663511,0.04391920381663511,0.032163570875789915,0.3,0.0003
2012-04-30,0.021579289207095988,0.021779289207095986,-0.006676117967189921,0.2,0.0002
2012-05-31,-0.05477704974836928,-0.054677049748369275,-0.060055426746766116,0.1,0.0001
2012-06-30,0.012759668074419707,0.012859668074419706,0.04058114467220131,0.1,0.0001
2012-07-31,-0.013432926490302812,-0.013232926490302811,0.011829399621578363,0.2,0.0002
2012-08-31,0.039976794282120094,0.040276794282120096,0.025052671105799007,0.30000000000000004,0.00030000000000000003
2012-09-30,0.036149218904258984,0.036449218904258986,0.02535124494340768,0.30000000000000004,0.00030000000000000003
2012-10-31,-0.015803332249362936,-0.015503332249362935,-0.018198333176259518,0.30000000000000004,0.00030000000000000003
2012-11-30,0.03363915253268614,0.033839152532686136,0.00565986119238393,0.2,0.0002
2012-12-31,-0.008715049361022275,-0.008515049361022275,0.008934371028534782,0.2,0.0002
2013-01-31,0.03749958260414929,0.03779958260414929,0.05118989207414182,0.30000000000000004,0.00030000000000000003
2013-02-28,0.01538495925673884,0.01568495925673884,0.012758944626618085,0.30000000000000004,0.00030000000000000003
2013-03-31,0.03659781931487844,0.03689781931487844,0.03797095370697279,0.3,0.0003
2013-04-30,0.033348060592347524,0.03354806059234752,0.019212611735111018,0.2,0.0002
2013-05-31,0.03778410999924162,0.038084109999241625,0.02360953768493923,0.3,0.0003
2013-06-30,-0.021234555893058803,-0.021034555893058804,-0.013344583197437698,0.2,0.0002
2013-07-31,0.07536016718144022,0.07576016718144021,0.051677152170579665,0.4,0.0004
2013-08-31,-0.024671435812715525,-0.024471435812715527,-0.029992479549380446,0.2,0.0002
2013-09-30,0.05569122167752179,0.056091221677521785,0.03164619867882701,0.4,0.0004
2013-10-31,0.04555138678913136,0.045751386789131356,0.046307186287499524,0.2,0.0002
2013-11-30,0.031994352600273106,0.032194352600273105,0.02963777697816461,0.2,0.0002
2013-12-31,0.04516928152439608,0.04536928152439608,0.025925888050702506,0.2,0.0002
2014-01-31,0.003753356976161594,0.003953356976161594,-0.03524776040461475,0.2,0.0002
2014-02-28,0.06673895252805861,0.06703895252805861,0.04551570400274785,0.30000000000000004,0.00030000000000000003
2014-03-31,-0.04589940226796756,-0.04553576590433119,0.00829535718953145,0.3636363636363637,0.0003636363636363637
2014-04-30,-0.022616564203194023,-0.022252927839557658,0.006951684740946984,0.36363636363636365,0.00036363636363636367
2014-05-31,0.06304706711213184,0.06322888529395003,0.023206775570403737,0.18181818181818182,0.00018181818181818183
2014-06-30,0.022313323034660253,0.022586050307387525,0.020644653662238444,0.2727272727272727,0.0002727272727272727
2014-07-31,-0.0011223461693790175,-0.0009405279875608357,-0.013438114487029251,0.18181818181818182,0.00018181818181818183
2014-08-31,0.05107580822968388,0.05125762641150206,0.0394638566017016,0.18181818181818182,0.00018181818181818183
2014-09-30,0.006071452468333061,0.006344179741060334,-0.013796504091784123,0.2727272727272727,0.0002727272727272727
2014-10-31,-0.0031145756548380766,-0.0031145756548380766,0.023551223780070796,0.0,0.0
2014-11-30,0.034924049989406486,0.03501495908031558,0.027471857104926833,0.09090909090909091,9.090909090909092e-05
2014-12-31,-0.01660462334988958,-0.016240986986253217,-0.0025368280895031736,0.36363636363636365,0.00036363636363636367
2015-01-31,-0.028069994130602252,-0.02779726685787498,-0.02962901872476531,0.2727272727272727,0.0002727272727272727
2015-02-28,0.05994290918642326,0.060033818277332354,0.05620429459867937,0.09090909090909091,9.090909090909092e-05
2015-03-31,0.0019253918927122351,0.002289028256348599,-0.01570528457666731,0.36363636363636365,0.00036363636363636367
2015-04-30,-0.009473178410932042,-0.009200451138204769,0.009834011294344469,0.2727272727272727,0.0002727272727272727
2015-05-31,0.024681659021203967,0.02495438629393124,0.01285591281090337,0.2727272727272727,0.0002727272727272727
2015-06-30,-0.0021335139958262453,-0.0018607867230989728,-0.020312130903256453,0.2727272727272727,0.0002727272727272727
2015-07-31,0.08316858351421524,0.08325949260512433,0.022589329745242415,0.09090909090909091,9.090909090909092e-05
2015-08-31,-0.05286442075705579,-0.052773511666146695,-0.06095032014189561,0.09090909090909091,9.090909090909092e-05
2015-09-30,-0.018158920263571656,-0.018068011172662567,-0.025515639024101033,0.09090909090909091,9.090909090909092e-05
2015-10-31,0.08868803296570862,0.0889607602384359,0.08505934613210075,0.27272727272727276,0.00027272727272727274
2015-11-30,0.031533071733355136,0.031714889915173315,0.003655110578230536,0.18181818181818182,0.00018181818181818183
2015-12-31,-0.006587905677347199,-0.0064060874955290175,-0.01728240487898436,0.18181818181818182,0.00018181818181818183
2016-01-31,-0.06436373153649273,-0.06409100426376546,-0.049786548622727245,0.27272727272727276,0.00027272727272727274
2016-02-29,-0.020660312790166384,-0.020569403699257294,-0.0008256659471134187,0.09090909090909091,9.090909090909092e-05
2016-03-31,0.07368534791985547,0.07386716610167365,0.06726595878033237,0.18181818181818182,0.00018181818181818183
2016-04-30,-0.021287488866670246,-0.021196579775761157,0.003940806542708897,0.09090909090909091,9.090909090909092e-05
2016-05-31,0.055568723700716215,0.05565963279162531,0.01701165301669949,0.09090909090909091,9.090909090909092e-05
2016-06-30,0.0032875655353216925,0.003651201898958056,0.003475892782175194,0.36363636363636365,0.00036363636363636367
2016-07-31,0.09501231015067788,0.09510321924158696,0.03647122863867902,0.09090909090909091,9.090909090909092e-05
2016-08-31,0.007822181278580918,0.008094908551308191,0.0011975978916747287,0.2727272727272727,0.0002727272727272727
2016-09-30,0.019440955365200886,0.019713682637928158,5.811096778329805e-05,0.2727272727272727,0.0002727272727272727
2016-10-31,0.001508354141369214,0.0016901723231873959,-0.017337020329848962,0.18181818181818182,0.00018181818181818183
2016-11-30,0.05445374307488276,0.05463556125670094,0.03683838200677414,0.18181818181818182,0.00018181818181818183
2016-12-31,0.024724436535065807,0.02499716380779308,0.02027146338400021,0.2727272727272727,0.0002727272727272727
2017-01-31,0.007913046173237568,0.008276682536873931,0.017894927262943394,0.36363636363636365,0.00036363636363636367
2017-02-28,0.06535095446312339,0.06562368173585066,0.03929154848150396,0.27272727272727276,0.00027272727272727274
2017-03-31,-0.003506041826238532,-0.0032333145535112595,0.0012502179548128378,0.27272727272727276,0.00027272727272727274
2017-04-30,0.0004200900044234281,0.000510999095332519,0.009925881526141378,0.09090909090909091,9.090909090909092e-05
2017-05-31,0.037804309378684474,0.03798612756050265,0.014112804578348292,0.18181818181818182,0.00018181818181818183
2017-06-30,0.004992817269173866,0.005083726360082957,0.006374960251700923,0.09090909090909091,9.090909090909092e-05
2017-07-31,0.05570013125811602,0.0558819494399342,0.02055433510363658,0.18181818181818182,0.00018181818181818183
2017-08-31,0.0211045068850113,0.02128632506682948,0.0029176837922224585,0.18181818181818182,0.00018181818181818183
2017-09-30,0.017104732874803467,0.01728655105662165,0.020149555129951757,0.18181818181818182,0.00018181818181818183
2017-10-31,0.07425796211635712,0.07453068938908439,0.02356398563673534,0.2727272727272727,0.0002727272727272727
2017-11-30,0.026279571265210987,0.02655229853793826,0.030565534382711146,0.2727272727272727,0.0002727272727272727
2017-12-31,-0.007188362396657866,-0.006915635123930593,0.012128313315198813,0.2727272727272727,0.0002727272727272727
2018-01-31,0.14603410010054807,0.14630682737327536,0.056359101175157855,0.2727272727272727,0.0002727272727272727
2018-02-28,0.02047872587369754,0.020660544055515723,-0.03636052568673043,0.18181818181818182,0.00018181818181818183
2018-03-31,-0.029601599133733905,-0.029328871861006633,-0.02741025649698392,0.2727272727272727,0.0002727272727272727
2018-04-30,0.019282274689624044,0.019373183780533133,0.005168124139966368,0.09090909090909091,9.090909090909092e-05
2018-05-31,0.06798943476907304,0.06808034385998213,0.02430901378776995,0.09090909090909091,9.090909090909092e-05
