Model,N,R2,Alpha Monthly,Alpha Annualized,Alpha t-stat,MKT_RF,MKT_RF t-stat,SMB,SMB t-stat,HML,HML t-stat,RMW,RMW t-stat,CMA,CMA t-stat,MOM,MOM t-stat
CAPM,181,0.6890239778739318,0.0056860203314501685,0.07040704414963694,2.8915752086122564,0.9865014236970119,16.187725254885045,,,,,,,,,,
FF3,181,0.7134177906979977,0.004861798512613155,0.05992719059617846,2.489383935375449,1.0326222939853253,19.16757561578559,-0.21164831724917932,-2.3199668702012732,-0.12477982277018086,-1.2009581551178121,,,,,,
Carhart4,181,0.8318486187476557,0.002513893092602646,0.030587329548159792,1.5446333762396227,1.1668842054958577,24.238673275841112,-0.07379697620617202,-1.009576489454213,0.01494071566600527,0.2318593464968827,,,,,0.5533939714251671,8.512507074298236
FF5,181,0.7190491431584747,0.005173775700202571,0.06388281917202976,2.6520543852564336,1.0446016544363486,21.755008537248287,-0.27054314787386224,-2.6396941700014045,-0.13249599537280402,-1.6270266294172704,-0.19982173902073672,-1.8760201108710315,0.08752689676859988,0.5406701557977504,,
