Lookback,Top Quantile,Cost bps,CAGR,Sharpe,Sortino,Max Drawdown,Information Ratio,Annualized Turnover,Carhart Alpha Monthly,Carhart Alpha t-stat
6.0,0.1,5.0,0.25933601097037107,1.1818061982837942,2.3142553307665508,-0.20032274350413004,0.7537597876489016,4.119786096256685,0.00637676486817821,2.5266730567633027
6.0,0.1,10.0,0.2567911916389416,1.171629205653255,2.2882796036910116,-0.2016838952111074,0.7391782179449629,4.119786096256685,0.006206860422043091,2.4571870769050044
6.0,0.1,20.0,0.2517153399155685,1.1512656410859616,2.2366826288347124,-0.20440021142741072,0.7100154156483748,4.119786096256685,0.005867051529772853,2.318514875623276
6.0,0.2,5.0,0.24588837139385178,1.3045150653514042,2.535542519333946,-0.24066527292411988,0.8564666467451622,3.749927078269324,0.006356875354399974,3.4696578376428873
6.0,0.2,10.0,0.24359368480384447,1.2934800881596709,2.5067671111901224,-0.24180590923601575,0.838855268971073,3.749927078269324,0.00619939987411747,3.383648911259344
6.0,0.2,20.0,0.23901574950535331,1.2714044013263777,2.4496596346767228,-0.24408260991632735,0.8036055836738133,3.749927078269324,0.005884448913552458,3.2115704829245297
6.0,0.3,5.0,0.21249760606995038,1.209177681177952,2.2161251627711493,-0.24107559195212624,0.7176282993242945,3.1893048128342247,0.0039598500288615295,2.758173821211405
6.0,0.3,10.0,0.2105962940158026,1.1992505775733364,2.1926504416579773,-0.24202209745180403,0.6990016394542676,3.1893048128342247,0.0038278585558048192,2.665675875266256
6.0,0.3,20.0,0.20680175775175025,1.1793879663995046,2.145995049071371,-0.2439119586024635,0.6617282224922723,3.1893048128342247,0.003563875609691396,2.4807345344759835
9.0,0.1,5.0,0.2513677243130159,1.1173769989378217,2.0520142029152835,-0.259999792428679,0.7774660154408325,3.3847826086956525,0.004862003348292282,1.8867019264377938
9.0,0.1,10.0,0.24928430139289537,1.109234166741465,2.0328779387431903,-0.26097840004747375,0.7651274676152976,3.3847826086956525,0.00472296017096207,1.8327621881896148
9.0,0.1,20.0,0.2451267291201522,1.092945252523886,1.9948208417014865,-0.2629324643444301,0.7404605215409327,3.3847826086956525,0.004444873816301643,1.7248534418120915
9.0,0.2,5.0,0.21078973784461064,1.135035048612347,2.0385086521114015,-0.23412547666329875,0.6960669448406298,3.0515810276679836,0.0034915206147917073,2.158579871140451
9.0,0.2,10.0,0.20896772780293071,1.1259527991597638,2.0180717692012062,-0.23526828662287635,0.6801840763417009,3.0515810276679836,0.0033631392072052003,2.078520653441153
9.0,0.2,20.0,0.20533113093193545,1.1077893962218484,1.977426293962189,-0.23754932815116603,0.6484318027590952,3.0515810276679836,0.003106376392032188,1.9185177972993064
9.0,0.3,5.0,0.18730082672636872,1.0891395551641134,1.928082604451082,-0.22811489278087427,0.5582901129107342,2.549728260869565,0.002113493686490343,1.6284440018900512
9.0,0.3,10.0,0.18580756041618285,1.0809860901581874,1.910183341412905,-0.22895919048350377,0.5425741667776937,2.549728260869565,0.002007072232985543,1.54712715717749
9.0,0.3,20.0,0.1828261088852332,1.0646770214595396,1.8745569265381685,-0.23064538613309482,0.5111463627912353,2.549728260869565,0.0017942293259759373,1.3842465481395467
12.0,0.1,5.0,0.222101359018676,1.0073413384870773,1.8671082212203034,-0.2606801332266221,0.6303142382341639,2.950276243093923,0.0036033569341786687,1.3408173505186542
12.0,0.1,10.0,0.22032530268122352,1.0001913859139342,1.8507033759937712,-0.26101376033288615,0.6199266379843725,2.950276243093923,0.003479944051403952,1.2945135209286156
12.0,0.1,20.0,0.21678004941183593,0.9858883700253408,1.8180389070413983,-0.26168072101538586,0.5991482977413992,2.950276243093923,0.003233118285854516,1.2019699445151417
12.0,0.2,5.0,0.20350191364834314,1.0754341098338864,1.9559106320739863,-0.21283622135602775,0.6992152322934616,2.5663485685585137,0.002619896847139223,1.6092878809585052
12.0,0.2,10.0,0.2019804447861009,1.068062459727232,1.9391273848395911,-0.2130411275854892,0.6860116199161612,2.5663485685585137,0.002513893092602646,1.5446333762396227
12.0,0.2,20.0,0.1989426943634569,1.0533159658888391,1.9057162546723156,-0.21345086470813734,0.6595985744800993,2.5663485685585137,0.002301885583529495,1.4151811057017025
12.0,0.3,5.0,0.17872910573659673,1.0410695880756387,1.8656509371314978,-0.20001670643374092,0.5741889955906809,2.214640883977901,0.0017971803998785697,1.3918705168609065
12.0,0.3,10.0,0.1774425011915015,1.0340601067615638,1.8500078673165186,-0.20018202743370406,0.5597535526768536,2.214640883977901,0.00170577207296637,1.321955118740528
12.0,0.3,20.0,0.17487308281895686,1.0200362470534712,1.8188575486086926,-0.20051260803597115,0.5308771655472323,2.214640883977901,0.0015229554191419738,1.1818053148058554
15.0,0.1,5.0,0.23527581470228842,1.0490811388398356,1.891938400869561,-0.27770806008341475,0.6932434642745268,2.665168539325842,0.0043987795167479285,1.728759999165097
15.0,0.1,10.0,0.23365431329197905,1.0426796234912927,1.8776425552924731,-0.27797620556317504,0.6839572623446535,2.665168539325842,0.004286589657325785,1.6838951095002168
15.0,0.1,20.0,0.2304169499057147,1.0298742670647498,1.849159264308104,-0.278512309241404,0.6653845403930571,2.665168539325842,0.004062209938481501,1.5942512256020034
15.0,0.2,5.0,0.1977957556446115,1.034139886331843,1.844356129234494,-0.21829848703618704,0.6505767122143088,2.473544433094995,0.0022283317128137014,1.3253596947999071
15.0,0.2,10.0,0.19633178003435714,1.027022455411326,1.828671092643583,-0.21853767901351218,0.6376899787881954,2.473544433094995,0.002123747877146419,1.263547448557307
15.0,0.2,20.0,0.19340863528044228,1.0127889347746324,1.7974468707508886,-0.21901593261147312,0.6119121412110482,2.473544433094995,0.001914580205811857,1.139779585841167
15.0,0.3,5.0,0.17924504432840727,1.008804161993955,1.7394361368233189,-0.22846709646715757,0.5647357889664367,1.9806179775280899,0.0015878803214247137,1.4199827315439462
15.0,0.3,10.0,0.17809213111196964,1.0027170080520353,1.726678108902452,-0.22913367663841977,0.5522206823153811,1.9806179775280899,0.0015039969945963342,1.345941252881214
15.0,0.3,20.0,0.17578933794568852,0.9905409762878914,1.7012495079904402,-0.23046535340583596,0.5271791879228526,1.9806179775280899,0.0013362303409395755,1.1975052557055046
