,Benchmark Up Months,Benchmark Down Months
CAGR,0.5500232246868453,-0.30874192765667285
Annualized Volatility,0.13818711738486802,0.1309413006944258
Sharpe,3.1941658966688053,-2.8042710987057546
Sortino,15.367792861674094,-2.230940364675969
Max Drawdown,-0.06747787969287977,-0.8295222933510518
Calmar,8.151163421112702,-0.3721924415188852
Information Ratio,0.6618853129759958,0.7414967335690064
Months,124.0,57.0
Hit Rate,0.5725806451612904,0.631578947368421
